source,destination,amount,label
915,1627,278.19,0
411,1038,5402.48,0
1507,695,5179.46,0
405,170,8824.09,1
1498,1697,8657.76,0
861,1915,8891.98,0
104,945,4251.62,0
1219,1182,2754.89,1
246,794,1315.67,0
1467,287,8789.46,0
1521,714,2537.64,0
641,28,8236.61,0
1743,1164,5108.12,0
1961,1763,5234.43,0
1424,793,3455.02,0
1494,1149,1779.49,0
1837,1241,7485.98,0
1838,390,9132.34,0
19,1306,1992.33,0
1832,533,1880.62,0
759,559,5342.55,0
1108,70,598.96,0
1395,810,9825.88,0
1906,1303,1440.76,1
1659,1515,3249.17,0
489,1543,839.93,0
596,335,2441.24,0
1017,188,3851.4,1
725,370,1272.95,0
368,709,5113.69,0
47,49,740.34,0
1326,958,7778.33,0
1904,764,7372.85,0
52,951,6780.1,0
1617,581,2661.54,0
333,494,3511.33,0
1496,675,3451.61,0
208,418,239.79,0
1808,1056,9367.12,0
1806,1264,1994.86,0
1412,1142,2142.39,0
880,1917,7872.71,1
850,751,5752.23,0
600,548,9649.25,0
674,1599,1452.42,0
369,1073,9723.92,0
1784,1759,4285.07,0
1910,1209,8596.28,0
165,188,70.1,1
1509,419,6528.35,0
437,563,3495.97,0
1741,1476,5085.14,0
996,1627,9689.46,0
930,975,182.91,0
271,399,9657.16,0
473,309,1707.23,0
1027,547,2462.39,0
1847,353,305.68,0
578,818,4030.46,0
386,250,8332.88,0
1998,774,4233.23,0
1487,1965,8344.76,0
234,1660,5865.69,0
1804,381,5805.8,0
1435,507,5757.36,0
1200,1307,6435.14,0
1267,985,740.04,0
1633,1972,7400.98,0
1670,0,4131.26,0
978,1737,8610.16,0
230,1550,6736.33,0
117,1285,1150.58,0
97,1087,2412.66,0
1344,1281,4412.54,0
150,1697,4005.87,0
149,1395,4905.48,0
1323,1290,5077.3,0
1749,449,5429.51,0
1196,171,3752.4,0
1670,568,3587.17,0
237,1524,5910.62,0
23,806,4713.22,0
58,538,1355.4,0
1549,1590,8079.51,0
631,1814,2762.8,0
1840,634,6906.02,0
907,763,8282.32,0
572,1648,7953.22,0
1084,1381,9583.34,0
321,669,7821.23,0
1495,1429,5691.79,0
1585,816,5345.3,0
528,1923,2967.38,0
415,1551,6329.53,0
556,1946,1311.8,0
876,1504,518.87,0
1566,1764,5826.17,0
1552,1973,1139.65,0
1917,854,3396.67,0
607,555,5839.65,0
105,1270,3630.68,0
1275,1052,1112.39,0
703,672,9304.19,0
352,777,3007.47,0
984,1622,3263.51,0
1137,1847,1201.53,0
310,946,1556.26,0
755,1574,9878.74,0
1492,1523,9438.96,0
1789,1660,9845.11,0
1492,1342,9118.98,0
885,768,3849.95,0
325,870,2806.39,0
346,476,3675.06,0
1751,635,2889.47,0
214,570,9180.1,0
1702,1625,8739.61,0
67,1558,3701.8,0
1477,1098,6800.13,0
289,1083,2397.48,0
973,1634,4979.99,0
1030,1272,5400.48,0
1217,1464,7062.27,0
1415,1814,4274.45,0
1394,292,9467.68,0
604,1647,3812.03,0
328,1155,1233.81,0
1061,871,7658.07,0
486,1952,2314.46,0
1787,1618,5363.06,0
321,1518,6897.36,0
1720,664,4113.68,0
44,1406,3171.4,0
1953,740,9778.61,0
1038,219,21.52,0
555,108,7765.71,0
1815,525,4112.64,0
1783,1714,7688.57,0
1903,465,7406.04,0
400,389,8969.71,0
825,201,2440.63,0
331,659,817.86,0
571,924,4997.05,0
12,786,6503.0,0
237,165,9811.46,0
829,1946,6131.91,0
648,972,7285.93,0
1212,1240,9982.72,0
1480,709,1769.32,0
199,1793,7103.71,0
753,239,8285.14,0
1497,548,494.79,0
715,299,1201.56,0
1575,646,8497.18,0
765,1202,6462.1,0
1758,737,2950.8,0
420,1558,3191.1,0
1799,1392,19.35,0
599,253,6080.58,0
1107,1068,3480.61,0
926,442,471.03,0
1101,465,6018.83,0
1829,1279,2168.76,0
1286,1880,1755.14,0
850,1339,1720.5,0
713,1980,1931.31,0
55,1341,9165.75,0
724,86,2383.62,0
1047,701,5829.17,0
795,1519,5252.87,0
1227,1222,5451.2,0
691,1089,3617.49,0
369,644,6342.13,0
349,1757,2990.72,0
506,692,3084.15,0
1618,484,5263.42,0
1643,1464,5864.87,0
1507,715,590.14,1
1609,1391,3375.21,0
28,1708,84.37,0
95,1060,2532.03,0
1344,1082,1508.55,0
1324,1150,5773.69,0
1104,1365,479.81,0
111,348,4589.77,0
99,515,440.04,0
1786,1219,4779.0,0
854,1619,8466.77,1
407,98,3462.62,0
978,946,7575.59,0
265,898,9793.24,0
1009,689,2351.02,0
494,194,2998.06,0
583,808,9537.98,0
29,1538,7215.51,0
594,515,8548.54,0
1824,1573,4038.85,0
446,1472,570.83,0
1653,954,3277.97,0
126,1280,8445.11,0
463,1374,3505.71,0
1844,1225,2192.92,0
1435,1312,3258.38,0
882,33,3136.54,0
299,1060,8020.77,0
361,300,55.19,0
1899,1991,6503.09,0
617,1904,4860.91,0
1234,848,3681.23,0
1306,233,9100.78,0
317,1408,7415.5,0
377,74,7422.88,0
263,392,604.64,0
244,1646,1758.26,0
1060,81,6245.7,0
889,1294,3599.9,0
1159,1118,5941.06,0
1526,1428,6612.62,0
1832,1647,7931.91,0
970,995,263.8,0
1210,343,6410.33,0
289,79,3328.35,1
898,633,7927.45,0
309,665,6969.51,1
665,127,6014.87,0
658,1398,1281.19,0
54,1172,7149.13,0
969,1517,4232.53,0
277,1779,8484.76,0
1244,1946,9792.39,0
1985,966,8398.27,0
1517,907,3006.56,0
966,114,306.4,0
25,1143,8262.61,1
865,1468,9775.09,0
453,1795,9950.24,0
1385,512,5841.61,0
1404,1117,2282.09,0
201,1020,8570.13,0
661,193,8946.41,0
1180,882,7193.54,0
90,1703,4119.73,0
844,680,849.52,0
1338,103,3855.48,0
1327,560,222.11,0
1001,211,6172.63,0
1111,1766,7473.46,0
442,564,9247.61,0
46,752,7900.31,0
