source,destination,amount,label
115,50,6335.51,0
833,856,4646.49,0
659,618,4902.66,0
612,37,5979.63,0
770,552,1314.58,0
326,444,3876.9,0
940,430,8423.12,0
131,107,9452.19,0
922,782,7141.74,0
592,20,9357.7,0
924,747,7282.01,0
852,157,1166.16,0
23,719,7974.48,0
332,545,6779.09,0
692,218,8665.07,0
98,570,7391.85,0
184,563,747.67,0
420,230,4446.74,0
668,137,4095.35,0
822,772,7648.13,0
547,216,5838.98,0
379,464,1788.4,0
751,490,2108.96,0
693,405,7177.38,0
457,422,2862.32,0
261,498,3173.62,0
13,265,8044.67,1
224,47,1494.28,0
575,238,9733.12,0
265,204,4576.66,0
656,307,7744.79,0
741,233,7003.87,0
510,920,47.07,1
822,553,4349.99,0
756,211,3026.72,0
61,352,7544.74,0
303,71,2133.79,0
821,347,2116.2,0
219,654,3000.28,0
282,89,7392.39,0
152,674,771.98,0
169,362,1522.47,0
651,408,244.3,0
241,554,4343.59,0
508,416,8380.4,0
195,916,8330.02,0
886,523,196.99,0
559,583,1496.65,0
828,258,2624.98,0
682,31,4480.69,0
338,403,9329.96,0
649,316,8445.66,0
328,934,1399.32,0
388,971,2771.32,0
81,482,4060.48,0
245,116,7145.83,0
613,572,4377.1,0
689,323,4896.27,0
462,709,4831.38,0
174,162,3288.3,0
181,490,853.92,0
449,272,8510.2,0
468,465,5624.52,0
86,792,7712.72,0
435,965,7236.57,0
748,343,1026.14,0
524,934,7743.52,0
72,429,839.83,0
420,876,9996.52,0
605,73,2446.74,0
427,72,8097.57,0
416,871,7589.2,1
761,982,4768.08,0
670,819,8053.44,0
747,302,7917.51,0
634,850,1045.24,0
308,178,6155.63,0
355,752,2626.47,0
868,857,6866.88,0
736,996,5571.83,0
256,416,7580.06,0
361,755,9006.11,0
824,860,5274.08,0
524,409,6637.0,0
821,905,2490.92,0
911,482,5018.51,0
303,562,3718.02,0
326,727,2390.62,0
873,946,9123.67,0
352,485,2297.73,0
510,330,5595.67,0
130,331,62.97,0
231,788,4234.07,0
737,218,8719.14,0
818,341,7844.56,0
565,997,9177.58,0
66,411,2242.32,0
663,172,1720.04,0
665,866,7992.64,0
339,9,4069.78,0
834,756,3173.62,0
510,121,5459.11,0
567,495,3093.07,0
60,539,1556.61,0
71,137,730.12,0
172,131,9601.78,0
19,522,2195.98,0
584,757,8706.74,0
977,407,6603.71,0
934,27,4755.2,0
45,16,7820.64,0
476,106,2934.07,0
861,159,8481.72,0
227,800,4251.91,0
925,958,6006.41,0
252,447,7537.09,0
638,246,9238.3,0
86,751,2743.76,1
81,190,4958.15,0
256,528,2229.86,0
283,313,7304.9,0
362,416,7491.91,0
468,925,7653.02,0
358,732,1095.18,0
325,956,8916.26,0
475,382,6035.19,0
135,561,4969.72,0
368,198,6504.49,0
484,263,4757.42,0
707,388,7164.3,0
409,704,242.56,0
10,691,5339.85,0
14,210,4216.42,0
766,798,4227.56,0
587,617,2226.83,0
807,344,1180.12,0
224,654,6997.77,0
854,985,3059.18,0
27,697,367.15,0
661,749,9663.47,0
356,414,759.54,0
700,382,3666.35,0
446,596,6271.22,0
881,767,3164.18,0
599,951,766.28,0
740,900,7355.74,0
773,73,1499.82,0
369,389,1959.95,0
848,912,6060.07,1
710,700,5255.6,0
45,365,9376.67,1
423,508,8335.35,0
485,565,4903.97,0
105,524,9684.16,0
33,537,3222.07,0
140,863,945.6,0
67,304,9894.57,0
747,656,1841.41,0
787,864,3505.3,0
209,480,1674.38,0
991,545,4805.14,0
52,582,8194.11,0
199,655,1581.95,0
827,992,4451.54,0
426,643,1229.39,0
958,868,5878.2,1
164,724,8445.46,0
958,310,2936.63,0
811,468,5721.26,0
199,1,1116.72,0
38,718,5780.06,0
807,452,8956.24,0
965,911,6501.58,1
134,175,1368.37,0
835,219,2745.45,0
989,65,893.37,0
32,45,2309.24,0
