source,destination,amount,label
5,129,8400.08,0
132,48,7792.73,0
107,192,9136.35,1
143,128,8689.24,0
129,117,5692.34,1
124,62,8275.18,0
154,194,3506.44,0
158,198,7484.54,0
140,45,6166.28,0
178,146,7034.58,0
72,129,8441.01,0
186,160,1194.18,0
65,171,6564.94,0
93,181,4988.28,1
179,113,9894.65,0
61,183,1027.83,0
54,87,843.12,0
148,47,5620.15,0
63,139,3581.11,0
19,130,920.59,0
164,144,6302.0,0
154,131,9645.09,0
20,125,4796.63,0
34,11,8786.7,0
45,76,4211.95,0
57,9,1351.78,0
43,192,283.36,1
172,171,9734.93,0
93,13,1173.4,0
139,132,5861.97,0
70,45,3628.43,0
186,131,2957.42,0
9,143,5871.12,0
17,12,2871.92,0
189,139,3977.88,0
71,197,2859.45,0
125,117,7849.86,1
23,192,3568.39,1
145,155,6713.8,0
8,21,7699.61,0
131,117,2624.26,1
139,198,8626.43,0
33,85,2696.2,0
82,61,9846.95,0
11,9,3776.57,0
94,29,2719.46,0
104,137,7872.86,0
149,186,6916.59,1
146,55,2898.63,0
116,144,6467.61,0
131,21,8121.55,0
198,32,5103.52,0
67,157,6657.71,0
136,30,5144.56,0
67,14,3798.25,1
117,12,1202.63,0
196,104,9448.86,1
133,104,6485.59,1
8,129,3850.42,0
101,163,601.76,0
21,64,9945.07,0
179,95,7955.91,0
34,81,9260.66,0
180,155,9117.77,0
112,148,9682.42,0
129,56,1490.74,0
66,46,7326.96,0
123,164,7301.96,0
98,106,8789.65,0
172,152,2885.77,0
99,176,4903.9,0
43,167,3236.91,0
88,99,3325.19,0
168,123,6453.84,0
22,153,4670.13,0
37,75,14.78,0
90,144,5350.68,0
185,125,4769.99,0
17,52,4031.33,0
178,176,8375.06,0
32,56,3013.35,0
10,96,2064.44,0
77,57,9800.06,0
181,31,1359.86,0
197,185,6732.36,0
68,115,7836.85,0
180,3,1002.21,0
154,12,7668.49,0
64,82,904.14,0
99,141,8165.65,0
102,181,9738.26,1
146,159,7144.66,0
125,58,6394.59,0
43,181,3664.21,1
67,89,729.96,0
199,198,3193.37,0
117,194,3080.67,0
167,144,8489.31,0
152,78,3231.0,0
51,89,6484.86,0
83,156,4418.81,0
189,109,8259.95,0
149,59,3622.98,0
176,174,2848.84,0
111,80,4424.9,0
17,94,4840.84,0
94,159,1190.21,0
176,126,6749.27,0
31,2,1215.72,0
137,174,5964.94,0
101,122,9794.97,0
63,33,7298.53,0
183,120,4803.04,0
186,28,8075.78,0
103,17,2402.6,0
129,65,7872.66,0
30,175,1538.01,0
84,19,825.8,0
129,124,8503.77,0
89,81,3463.54,0
124,4,5258.96,0
151,133,2912.87,0
196,72,3218.76,0
119,24,1294.05,0
70,82,6100.75,0
143,34,9869.91,0
102,130,3592.32,0
173,16,6552.78,0
54,122,4738.89,0
120,91,606.48,0
18,53,9889.39,0
126,66,8866.67,0
